yyyymm,price,d12,e12,ret,retx,AAA,BAA,lty,ltr,corpr,tbl,Rfree,d/p,d/y,e/p,d/e,b/m,tms,dfy,dfr,infl,eqis,ntis,svar,cay,i/k,csp,pce,vp,impvar,vrp,govik,lzrt,skew,crdstd,ogap,wtexas,accrul,cfacc,sntm,ndrbl,skvw,tail,fbm,dtoy,dtoat,ygap,rdsp,rsvix,gpce,gip,tchi,house,avgcor,shtint,disag
187101,4.44,0.26,0.4,,,,,,,,,,0.05855855855855856,,0.09009009009009009,0.65,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
187102,4.5,0.26,0.4,,,,,,,,,0.004967421451620109,0.05777777777777778,0.05855855855855856,0.08888888888888889,0.65,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
187103,4.61,0.26,0.4,,,,,,,,,0.004524663161801005,0.05639913232104121,0.05777777777777778,0.08676789587852494,0.65,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
187104,4.74,0.26,0.4,,,,,,,,,0.004251628883079224,0.05485232067510548,0.05639913232104121,0.08438818565400844,0.65,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
187105,4.86,0.26,0.4,,,,,,,,,0.004642732039086099,0.053497942386831275,0.05485232067510548,0.0823045267489712,0.65,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
187106,4.82,0.26,0.4,,,,,,,,,0.003698181020805343,0.05394190871369294,0.053497942386831275,0.08298755186721991,0.65,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
187107,4.73,0.26,0.4,,,,,,,,,0.0033734916082713328,0.05496828752642706,0.05394190871369294,0.08456659619450317,0.65,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
187108,4.79,0.26,0.4,,,,,,,,,0.0032554227309862386,0.054279749478079335,0.05496828752642706,0.08350730688935282,0.65,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
187109,4.84,0.26,0.4,,,,,,,,,0.0037129396304659795,0.05371900826446281,0.054279749478079335,0.08264462809917356,0.65,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
187110,4.59,0.26,0.4,,,,,,,,,0.004554180381122278,0.056644880174291944,0.05371900826446281,0.08714596949891068,0.65,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
187111,4.64,0.26,0.4,,,,,,,,,0.00704100610893958,0.0560344827586207,0.056644880174291944,0.08620689655172414,0.65,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
187112,4.74,0.26,0.4,,,,,,,,,0.006487558246665701,0.05485232067510548,0.0560344827586207,0.08438818565400844,0.65,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
187201,4.86,0.2633,0.4025,,,,,,,,,0.006974592365466716,0.05417695473251028,0.05554852320675105,0.08281893004115226,0.6541614906832297,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
187202,4.88,0.2667,0.405,,,,,,,,,0.0057643863732944976,0.054651639344262294,0.05487654320987654,0.08299180327868853,0.6585185185185185,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
187203,5.04,0.27,0.4075,,,,,,,,,0.005218317815850935,0.053571428571428575,0.05532786885245902,0.0808531746031746,0.6625766871165645,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
